,County,Population,White Population,% White,Black Population,% Black,Asian Population,% Asian,Hispanic Population,% Hispanic
30,"Franklin County, Alabama",32113,24333,0.7577305141220066,1166,0.03630928284495376,68,0.0021175224986765486,6259,0.19490548998847818
31,"Geneva County, Alabama",26659,22078,0.8281630968903559,2241,0.08406166772947223,89,0.0033384598071945683,1296,0.048613976518248996
32,"Greene County, Alabama",7730,1301,0.1683053040103493,6246,0.8080206985769728,7,0.0009055627425614489,61,0.007891332470892626
33,"Hale County, Alabama",14785,5999,0.4057490700033818,8337,0.5638823131552249,25,0.0016909029421711193,149,0.010077781535339872
34,"Henry County, Alabama",17146,11888,0.6933395544150239,4248,0.24775457832730666,73,0.004257552781989969,334,0.019479762043625334
35,"Houston County, Alabama",107202,69265,0.6461166769276693,28408,0.2649950560623869,1282,0.011958732113206843,4481,0.04179959329116994
36,"Jackson County, Alabama",52579,45480,0.8649841191350158,1636,0.031115083968884915,214,0.004070065995929934,1681,0.031970938968029064
37,"Jefferson County, Alabama",674721,329590,0.4884833879485002,281326,0.4169515992536174,13109,0.019428771299544553,34856,0.05165987126530818
38,"Lamar County, Alabama",13972,11962,0.8561408531348411,1425,0.1019896936730604,6,0.00042943028914972805,208,0.014886916690523905
39,"Lauderdale County, Alabama",93564,77141,0.8244730879398059,9243,0.09878799538283956,770,0.00822966098071908,3078,0.03289726818006926
40,"Lawrence County, Alabama",33073,24915,0.7533335349076286,3304,0.0999002207238533,87,0.0026305445529586067,895,0.02706134913675808
41,"Lee County, Alabama",174241,111651,0.6407848898938826,39570,0.2270992475938499,8572,0.049196228212648,9135,0.052427385058625695
42,"Limestone County, Alabama",103570,77064,0.7440764700202761,13307,0.12848315149174472,1869,0.0180457661484986,7248,0.0699816549193782
43,"Lowndes County, Alabama",10311,2818,0.2733003588400737,7192,0.6975075162447871,15,0.0014547570555717194,140,0.013577732518669382
44,"Macon County, Alabama",19532,3252,0.16649600655334834,15441,0.7905488429244317,74,0.003788654515666598,361,0.01848249027237354
45,"Madison County, Alabama",388153,242510,0.624779403997908,92066,0.237189974056622,10292,0.026515317413494163,24936,0.06424270841652648
46,"Marengo County, Alabama",19323,8428,0.43616415670444547,10188,0.5272473218444341,54,0.0027945971122496508,368,0.01904466180199762
47,"Marion County, Alabama",29341,26312,0.8967656180770935,1106,0.03769469343239835,75,0.0025561500971337035,863,0.02941276711768515
48,"Marshall County, Alabama",97612,76926,0.7880793345080523,2428,0.024873990902757857,602,0.006167274515428431,15658,0.16041060525345244
49,"Mobile County, Alabama",414809,229550,0.5533872215887312,146254,0.35258154958065036,8585,0.020696272260245077,13425,0.03236429296374958
50,"Monroe County, Alabama",19772,10391,0.5255411693303662,8299,0.4197349787578394,88,0.004450738417964798,207,0.01046935059680356
51,"Montgomery County, Alabama",228954,75074,0.327899927496353,130467,0.5698393563772636,7995,0.03491967818863178,10684,0.04666439546808529
52,"Morgan County, Alabama",123421,89869,0.7281499906822988,15453,0.12520559710260004,850,0.006886996540297032,12377,0.10028277197559572
53,"Perry County, Alabama",8511,2359,0.2771707202443896,5936,0.6974503583597698,10,0.0011749500646222536,89,0.010457055575138057
54,"Pickens County, Alabama",19123,10739,0.5615750666736391,7489,0.39162265334936985,78,0.004078857919782461,1053,0.055064581917063225
55,"Pike County, Alabama",33009,18275,0.5536368869096308,12138,0.36771789511951286,588,0.017813323639007544,905,0.02741676512466297
56,"Randolph County, Alabama",21967,16772,0.7635088997132061,3815,0.17366959530204398,87,0.003960486183821187,605,0.02754131196795193
57,"Russell County, Alabama",59183,27532,0.46520115573728943,26243,0.4434212527246,420,0.007096632478921312,3195,0.05398509707179427
58,"St. Clair County, Alabama",91103,75728,0.8312349757966258,8652,0.09496943020537194,663,0.0072774771412576975,2575,0.02826471137064641
59,"Shelby County, Alabama",223024,165206,0.7407543582753425,28939,0.1297573355333955,5152,0.023100652844536912,16460,0.07380371619197934
60,"Sumter County, Alabama",12345,2974,0.24090724989874443,8997,0.7287970838396112,102,0.008262454434993925,131,0.01061158363710004
61,"Talladega County, Alabama",82149,51214,0.62342816102448,26439,0.3218420187707702,395,0.004808336072258944,1779,0.021655771829237117
62,"Tallapoosa County, Alabama",41311,28477,0.6893321391396965,10409,0.25196678850669313,222,0.0053738713659800055,1144,0.027692382174239305
63,"Tuscaloosa County, Alabama",227036,136582,0.6015874134498493,69088,0.3043041632164062,3253,0.014328124174139784,12298,0.05416762099402738
64,"Walker County, Alabama",65342,57012,0.8725169110220072,3929,0.06012977870282513,297,0.004545315417342597,2152,0.032934406660340976
65,"Washington County, Alabama",15388,10309,0.6699376137249805,3318,0.21562256303613206,14,0.0009097998440343125,138,0.008968027034052509
66,"Wilcox County, Alabama",10600,2880,0.27169811320754716,7483,0.7059433962264151,7,0.0006603773584905661,112,0.010566037735849057
67,"Winston County, Alabama",23540,21760,0.9243840271877655,141,0.005989804587935429,61,0.0025913338997451147,815,0.03462192013593883
68,"Aleutians East Borough, Alaska",3420,684,0.2,297,0.0868421052631579,771,0.22543859649122808,674,0.19707602339181288
69,"Aleutians West Census Area, Alaska",5232,1667,0.3186162079510703,259,0.04950305810397553,1513,0.2891819571865443,668,0.12767584097859327
70,"Anchorage Municipality, Alaska",291247,164446,0.564627275130731,14576,0.0500468674355444,27646,0.09492286615827802,26438,0.09077518395039262
71,"Bethel Census Area, Alaska",18666,1665,0.08919961427193829,85,0.004553734061930784,202,0.010821815064823744,207,0.011089681774349084
72,"Bristol Bay Borough, Alaska",844,370,0.43838862559241704,6,0.0071090047393364926,5,0.005924170616113744,45,0.0533175355450237
73,"Chugach Census Area, Alaska",7102,4907,0.6909321317938609,49,0.006899464939453675,529,0.07448606026471416,397,0.05589974655026753
74,"Copper River Census Area, Alaska",2617,1611,0.6155903706534199,8,0.003056935422239205,17,0.006495987772258311,84,0.032097821933511655
75,"Denali Borough, Alaska",1619,1382,0.8536133415688697,11,0.0067943174799258805,13,0.008029647930821495,32,0.019765287214329835
